customer_id,first_name,last_name,email,phone,city,state,country,created_at
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,South Bridget,AS,USA,2025-07-30T05:11:41.183934
2,Katherine,Moore,jpeterson@example.org,001-851-316-1559x40781,Mariastad,OK,USA,2023-07-19T09:37:39.835625
3,Chad,Stanley,tracie31@example.com,575-425-5341x928,Grayside,IN,USA,2025-01-08T20:27:12.540976
4,Megan,Parsons,lydiatrujillo@example.com,513-695-3767x242,Hurstfurt,MN,USA,2023-08-18T00:30:00.888138
5,Whitney,Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Danielchester,GA,USA,2024-04-30T20:39:36.652717
6,Stephanie,Liu,teresa28@example.org,+1-948-293-2528x8095,West Natashaport,IA,USA,2023-02-22T04:14:06.560439
7,Natalie,Arroyo,dennislisa@example.net,001-822-778-2489x63834,Lammouth,DE,USA,2023-09-18T08:12:15.010128
8,Caleb,Smith,briannasmith@example.net,+1-403-910-5183x4738,Port Thomas,MT,USA,2023-07-17T08:13:25.197901
9,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,Port Sandra,NV,USA,2025-05-24T01:44:52.977377
10,Melissa,Garcia,novaksara@example.org,(267)873-6026,Saramouth,LA,USA,2024-03-28T04:54:25.684246
11,Susan,Cowan,smoore@example.org,4982050097,Port Jacobland,TX,USA,2025-07-22T00:27:42.108906
12,Richard,David,bethwilliams@example.org,(799)385-4353x46247,South Christineshire,CT,USA,2023-03-10T23:31:06.704732
13,Jason,Baker,nicole35@example.com,(378)449-8084,Darrellville,WA,USA,2024-08-17T21:14:16.153083
14,Joseph,Jacobs,james48@example.com,801-264-0052x427,North Sierraberg,ND,USA,2023-01-29T04:24:10.324072
15,Mike,Tran,tanderson@example.com,4535315869,Port Lisa,FM,USA,2024-03-16T11:10:56.585431
16,Harry,Middleton,vpham@example.org,521-260-7337x543,South Mark,VI,USA,2023-03-06T18:32:16.283446
17,Kerri,Bell,ifrazier@example.com,8147294019,Samuelhaven,DE,USA,2024-02-15T18:33:10.795395
18,Barbara,Scott,zsmith@example.net,+1-835-661-5951x48465,East Robert,MS,USA,2024-12-31T20:34:49.761102
19,Raven,Gilbert,richard04@example.com,969.495.7773,West Zacharymouth,CO,USA,2025-06-04T11:16:18.619767
20,Karen,Chambers,lindsayhernandez@example.org,979.817.6936,East Diana,AL,USA,2025-08-24T19:29:10.420674
21,Michelle,Mcclure,zrobinson@example.net,870.983.1727x88957,Lake Michelle,NV,USA,2023-09-30T16:59:36.805026
22,John,Walsh,rsims@example.com,443-545-5812,Bensonborough,CA,USA,2024-03-19T06:51:28.997207
23,Mark,Owens,clarkrobert@example.net,001-509-967-0546x688,West Ryan,AK,USA,2024-02-19T18:50:51.313609
24,Elizabeth,Yates,marycalhoun@example.net,+1-906-499-0162,West Nicholasborough,NH,USA,2023-12-13T20:06:59.332041
25,Kathleen,Gray,fking@example.com,5802531003,East David,TN,USA,2023-04-25T01:05:31.656173
26,Stacie,Marshall,katie29@example.net,001-512-341-9049x6631,Melissaville,WY,USA,2025-12-02T17:23:28.397519
27,Kimberly,Reed,estanley@example.net,+1-650-967-1657x2628,Grahamshire,KY,USA,2023-12-08T20:41:40.910176
28,John,Michael,nicole37@example.net,+1-665-607-5273x545,New Stacyland,IA,USA,2025-02-16T16:57:57.226274
29,Tracy,Chang,fbrewer@example.com,9147363495,Barajasside,MA,USA,2024-01-10T04:37:14.825823
30,Shawn,Parker,davidlee@example.org,001-682-533-7498x9413,Harrytown,VT,USA,2024-07-27T23:15:39.001068
31,Joshua,Mccann,heidi27@example.org,6949777520,Port Cameronfort,CA,USA,2024-09-12T23:02:51.903493
32,Glenda,Hernandez,christopher31@example.net,001-269-399-3867x74964,Lake Jason,TN,USA,2023-03-19T15:58:13.242752
33,John,Arnold,aaronhayes@example.net,340.534.4713x4936,West Margaret,CA,USA,2023-02-24T01:16:44.605488
34,Laura,Larson,scott74@example.net,(248)387-7190x6594,Lake Mary,OK,USA,2024-09-24T00:41:49.066535
35,Andrew,Hubbard,barbara27@example.net,+1-374-429-6717x5655,Robertfort,LA,USA,2024-12-15T17:06:20.264354
36,Richard,Hodges,gibsonleonard@example.com,768-908-7603,Wolfborough,KY,USA,2024-08-13T11:56:36.469893
37,Sara,Kim,omartinez@example.net,324.980.8613,Lake Marilynfort,VT,USA,2023-11-05T12:07:33.617188
38,Janice,Perry,pbaird@example.com,+1-826-739-8214,Loriport,VA,USA,2023-11-12T20:10:03.397510
39,Brenda,Duarte,cgrimes@example.net,855.288.6753x3963,Juliefurt,MS,USA,2025-12-07T17:33:38.153712
40,Laura,Pearson,tylerjohnson@example.net,001-851-471-8702,South Kimberlyview,MA,USA,2024-11-02T14:59:16.085373
41,Raymond,Miller,melissa86@example.com,+1-978-409-1343x1611,Rebeccaton,MD,USA,2025-05-11T01:22:06.444747
42,Kelly,Brooks,johnjenkins@example.net,(422)519-6937,Littlemouth,KS,USA,2024-12-20T09:03:28.406487
43,Rachel,Marshall,erica21@example.com,(894)764-7436x713,Victoriaport,AK,USA,2025-11-26T06:14:26.767344
44,Dominique,Hill,lozanojulie@example.com,001-739-453-3942x10470,West Markchester,HI,USA,2023-07-28T17:19:03.974840
45,Kristin,Walter,alyssa42@example.com,245.617.1236x8516,South Miguelview,OR,USA,2024-02-11T04:53:42.269429
46,Danielle,Watson,thomasharvey@example.net,393-517-4612x00471,South Shawn,TN,USA,2025-10-25T23:05:33.816755
47,Heather,Fernandez,nicolepena@example.com,+1-764-205-3773x515,Hillville,PR,USA,2025-06-10T18:56:40.158207
48,Christopher,Lewis,williamsmatthew@example.org,001-431-283-9335,Micheleberg,DC,USA,2024-08-03T15:09:28.666049
49,Lauren,Rodriguez,andersonmichael@example.org,001-350-324-0268,Weststad,NY,USA,2024-10-01T04:45:44.394098
50,Shannon,Walker,acostaregina@example.net,447.300.7661x77115,West Claudia,OR,USA,2024-08-12T13:14:36.669497
51,Mark,Vang,shawn96@example.org,001-318-736-7365x766,Edwardsview,MN,USA,2025-10-30T13:51:00.990246
52,Gloria,Wells,deckerchristopher@example.org,001-252-680-9885x1656,Michaelshire,NY,USA,2023-08-10T19:24:45.982641
53,Diane,Walker,bellangela@example.org,001-649-636-8998x09402,Michaelburgh,VI,USA,2023-05-26T16:05:07.386990
54,Diane,Jones,davisalyssa@example.com,(275)325-4599x10229,Scottchester,NM,USA,2024-10-15T21:24:30.896250
55,Robert,Lewis,reeddaniel@example.net,+1-497-684-0369x00343,Marktown,NM,USA,2025-03-18T05:24:01.444034
56,Gregory,James,vincentwhitaker@example.com,860-860-7159,Robertsfurt,AK,USA,2025-11-13T09:23:04.719642
57,George,Meza,xcollier@example.org,(313)369-6816x45352,Port Michael,VA,USA,2025-11-04T15:37:42.760017
58,Debbie,Hernandez,thomasjames@example.net,(712)777-9979,South Carlos,NV,USA,2024-11-11T12:40:19.640912
59,Laura,Vargas,william47@example.com,8059411998,South Reginashire,SD,USA,2023-07-14T23:08:48.311912
60,Cassidy,Mason,hayeslisa@example.com,001-718-720-3778x892,Paulmouth,TX,USA,2024-10-05T19:43:57.952057
